L.-interrogans-str.-56601-SRR353563 RACER 0.348791207876
B.-subtilis-subtilis-168-DRR000852 RACER 0.262642490402
L.-interrogans-str.-Fiocruz-L1-130-SRR397962 RACER 0.290974968896
E.-coli-K-12-MG1655-SRR396532 RACER 0.569972600604
E.-coli-K-12-MG1655-SRR396536 RACER 0.852271871041
C.-elegans-WS222-SRR065390 RACER 0.0929128419405
E.-coli-K-12-MG1655-SRR022918 RACER 0.311797662012
S.-aureus-MW2-SRR022866 RACER 0.122537041094
L.-lactis-SRR088759 RACER 0.959324964135
E.-coli-K-12-MG1655-SRR001665 RACER 0.78436644091
D.-melanogaster-R6.18-SRR018292,SRR018293,SRR018294,SRR060098 RACER 0.281479268534
P.-aeruginosa-PAO1-SRR396641 RACER 0.483439092529
T.-pallidum-SRR361468 RACER 0.774160918327
S.-cerevisiae-S288C-SRR352384 RACER 0.0835022294636
H.-influenzae-Rd-KW20-SRR065202 RACER 0.508441106074
